brand,tier,hq_country,avg_composite_score,avg_ppi,avg_gross_margin,avg_revenue_growth,latest_price_index,latest_search_trend,margin_stability,composite_score_pct,rank,strategic_quadrant
Hermès,Ultra-luxury,France,1.4200833333333334,2.940461463766314,0.7399999999999999,24.40126951449648,268,99,0.615,100.0,1,Pricing Leaders
"Richemont (Cartier, IWC)",Ultra-luxury,Switzerland,1.1892500000000001,0.4958156573028945,0.7033333333333333,2.3789943442537043,200,87,0.661,83.7,2,Under Pressure
Moncler,High-luxury,Italy,1.0895833333333333,2.3991745775230746,0.7733333333333334,23.79206324439591,178,82,0.621,76.7,3,Pricing Leaders
LVMH Fashion & Leather,Ultra-luxury,France,1.0828333333333333,1.1298894482324844,0.7166666666666667,11.453961111532644,165,97,0.6999999999999998,76.3,4,Under Pressure
"Kering (Gucci, YSL)",High-luxury,France,1.0104166666666667,-0.2406881860873092,0.7333333333333334,2.635296542859567,150,76,0.733,71.2,5,Margin Defenders
Burberry,Aspirational-luxury,UK,0.7989999999999999,-0.9983386067429972,0.68,-2.0273849250489953,112,54,0.632,56.3,6,Under Pressure
Hugo Boss,Premium (entry),Germany,0.78775,1.8470043807356724,0.62,16.80609180609181,112,63,0.649,55.5,7,Volume Growers
Pandora,Accessible-luxury,Denmark,0.7655,1.8486155082092441,0.7766666666666667,10.092592592592593,94,72,0.8119999999999999,53.9,8,Pricing Leaders
